bit,dummy,iters,rc5_count,rc5_per_iter,elapsed_s
2,0,2000000,1003105,0.5015525,0.014558553
2,1,2000000,1003520,0.50176,0.012813399
2,2,2000000,1004323,0.5021615,0.015190172
2,3,2000000,1002509,0.5012545,0.01297669
2,4,2000000,1001980,0.50099,0.015539419
2,5,2000000,1003117,0.5015585,0.015097256
2,6,2000000,1003777,0.5018885,0.015003257
2,7,2000000,1003792,0.501896,0.016487537
2,8,2000000,1003572,0.501786,0.017100616
2,9,2000000,1003649,0.5018245,0.017757277
2,10,2000000,1003080,0.50154,0.018495355
2,11,2000000,1003784,0.501892,0.024493682
2,12,2000000,1002976,0.501488,0.020302257
2,13,2000000,1003024,0.501512,0.021877119
2,14,2000000,1003504,0.501752,0.021880578
2,15,2000000,1004087,0.5020435,0.021714621
2,16,2000000,1003823,0.5019115,0.027995488
2,17,2000000,1003368,0.501684,0.025835797
2,18,2000000,1003711,0.5018555,0.023560315
2,19,2000000,1003814,0.501907,0.02642575
2,20,2000000,1003592,0.501796,0.024876679
2,21,2000000,1004296,0.502148,0.025545424
2,22,2000000,1003900,0.50195,0.026474875
2,23,2000000,1003742,0.501871,0.026930997
2,24,2000000,1003997,0.5019985,0.02771224
2,25,2000000,1004370,0.502185,0.028131195
2,26,2000000,2003874,1.001937,0.032554869
2,27,2000000,2003058,1.001529,0.033296613
2,28,2000000,2003065,1.0015325,0.03430948
2,29,2000000,2002866,1.001433,0.035855469
2,30,2000000,2003928,1.001964,0.040765138
2,31,2000000,2003520,1.00176,0.035526138
2,32,2000000,2003687,1.0018435,0.037382706
2,33,2000000,2003512,1.001756,0.037440164
2,34,2000000,2003607,1.0018035,0.043951863
2,35,2000000,2003306,1.001653,0.038367198
3,0,2000000,1003659,0.5018295,0.011751699
3,1,2000000,1002530,0.501265,0.017784943
3,2,2000000,1003431,0.5017155,0.017810152
3,3,2000000,1002427,0.5012135,0.013568435
3,4,2000000,1003339,0.5016695,0.017176573
3,5,2000000,1003171,0.5015855,0.01514534
3,6,2000000,1002862,0.501431,0.015780917
3,7,2000000,1004494,0.502247,0.016429829
3,8,2000000,1003405,0.5017025,0.017047116
3,9,2000000,1003149,0.5015745,0.01773061
3,10,2000000,1003275,0.5016375,0.024588265
3,11,2000000,1003235,0.5016175,0.019078975
3,12,2000000,1003164,0.501582,0.025513424
3,13,2000000,1002879,0.5014395,0.027150495
3,14,2000000,1003455,0.5017275,0.021031501
3,15,2000000,1002793,0.5013965,0.02713387
3,16,2000000,1004345,0.5021725,0.02601917
3,17,2000000,1003829,0.5019145,0.023140485
3,18,2000000,1004178,0.502089,0.02739741
3,19,2000000,1003815,0.5019075,0.024388058
3,20,2000000,1004694,0.502347,0.024975637
3,21,2000000,1003204,0.501602,0.027314743
3,22,2000000,1004197,0.5020985,0.02629321
3,23,2000000,1004076,0.502038,0.026963497
3,24,2000000,1004184,0.502092,0.028910981
3,25,2000000,2002750,1.001375,0.037603205
3,26,2000000,2002775,1.0013875,0.036397172
3,27,2000000,2003234,1.001617,0.036592087
3,28,2000000,2002517,1.0012585,0.039513856
3,29,2000000,2003535,1.0017675,0.036046175
3,30,2000000,2002822,1.001411,0.035056433
3,31,2000000,2003392,1.001696,0.036263882
3,32,2000000,2002846,1.001423,0.03672217
3,33,2000000,2004239,1.0021195,0.037159583
3,34,2000000,2002429,1.0012145,0.037713287
3,35,2000000,2003506,1.001753,0.038338949
4,0,2000000,1002530,0.501265,0.011902156
4,1,2000000,1002762,0.501381,0.012299487
4,2,2000000,1003569,0.5017845,0.015584669
4,3,2000000,1003279,0.5016395,0.013674809
4,4,2000000,1003614,0.501807,0.016727452
4,5,2000000,1003926,0.501963,0.015046465
4,6,2000000,1002484,0.501242,0.015733834
4,7,2000000,1003932,0.501966,0.016416163
4,8,2000000,1003257,0.5016285,0.017692445
4,9,2000000,1003840,0.50192,0.022331657
4,10,2000000,1003441,0.5017205,0.018387272
4,11,2000000,1003229,0.5016145,0.023879521
4,12,2000000,1003358,0.501679,0.019692262
4,13,2000000,1003396,0.501698,0.024138227
4,14,2000000,1003439,0.5017195,0.022050368
4,15,2000000,1003702,0.501851,0.02794978
4,16,2000000,1003773,0.5018865,0.028185861
4,17,2000000,1003377,0.5016885,0.028274403
4,18,2000000,1003580,0.50179,0.026518875
4,19,2000000,1003647,0.5018235,0.024374642
4,20,2000000,1004786,0.502393,0.025049011
4,21,2000000,1003760,0.50188,0.027112495
4,22,2000000,1003596,0.501798,0.03173175
4,23,2000000,1004445,0.5022225,0.026136211
4,24,2000000,2003168,1.001584,0.032584202
4,25,2000000,2003936,1.001968,0.034770602
4,26,2000000,2003285,1.0016425,0.03453677
4,27,2000000,2003677,1.0018385,0.032924574
4,28,2000000,2004088,1.002044,0.033613486
4,29,2000000,2003941,1.0019705,0.034590353
4,30,2000000,2003542,1.001771,0.034983433
4,31,2000000,2003339,1.0016695,0.039995727
4,32,2000000,2003648,1.001824,0.041781796
4,33,2000000,2003822,1.001911,0.036931501
4,34,2000000,2003407,1.0017035,0.037484831
4,35,2000000,2003128,1.001564,0.038062951
5,0,2000000,1003716,0.501858,0.0169627
5,1,2000000,1003552,0.501776,0.013957973
5,2,2000000,1003124,0.501562,0.013299062
5,3,2000000,1002776,0.501388,0.014919591
5,4,2000000,1003455,0.5017275,0.014794676
5,5,2000000,1002876,0.501438,0.015394379
5,6,2000000,1002788,0.501394,0.016072082
5,7,2000000,1004010,0.502005,0.016751493
5,8,2000000,1002595,0.5012975,0.017406988
5,9,2000000,1002062,0.501031,0.018816394
5,10,2000000,1002540,0.50127,0.023197067
5,11,2000000,1003082,0.501541,0.025189261
5,12,2000000,1003346,0.501673,0.020643713
5,13,2000000,1002992,0.501496,0.02183462
5,14,2000000,1003294,0.501647,0.021341083
5,15,2000000,1002817,0.5014085,0.02187437
5,16,2000000,1003596,0.501798,0.026638999
5,17,2000000,1003683,0.5018415,0.027577908
5,18,2000000,1004171,0.5020855,0.02413956
5,19,2000000,1003376,0.501688,0.027580408
5,20,2000000,1004940,0.50247,0.025446883
5,21,2000000,1004793,0.5023965,0.026048504
5,22,2000000,1004375,0.5021875,0.026737831
5,23,2000000,2002935,1.0014675,0.03110738
5,24,2000000,2002569,1.0012845,0.031580169
5,25,2000000,2003166,1.001583,0.042029753
5,26,2000000,2003246,1.001623,0.034380105
5,27,2000000,2003968,1.001984,0.03874482
5,28,2000000,2003757,1.0018785,0.03772112
5,29,2000000,2003736,1.001868,0.034831059
5,30,2000000,2003733,1.0018665,0.035493888
5,31,2000000,2001914,1.000957,0.035874593
5,32,2000000,2003903,1.0019515,0.03666592
5,33,2000000,2002740,1.00137,0.0371485
5,34,2000000,2004520,1.00226,0.037930451
5,35,2000000,2003696,1.001848,0.038451947
6,0,2000000,2002547,1.0012735,0.022333241
6,1,2000000,2002964,1.001482,0.017090949
6,2,2000000,2004036,1.002018,0.017766777
6,3,2000000,2000907,1.0004535,0.018357522
6,4,2000000,2002378,1.001189,0.022853987
6,5,2000000,2003261,1.0016305,0.025194969
6,6,2000000,2003346,1.001673,0.018961309
6,7,2000000,2002446,1.001223,0.024902471
6,8,2000000,2001947,1.0009735,0.023733689
6,9,2000000,2001931,1.0009655,0.022198825
6,10,2000000,2002434,1.001217,0.02865415
6,11,2000000,2002743,1.0013715,0.026508666
6,12,2000000,2002860,1.00143,0.024362183
6,13,2000000,2002763,1.0013815,0.026922538
6,14,2000000,2003734,1.001867,0.026084086
6,15,2000000,2003465,1.0017325,0.026289876
6,16,2000000,2003638,1.001819,0.026776165
6,17,2000000,2004130,1.002065,0.027435117
6,18,2000000,2004022,1.002011,0.028792816
6,19,2000000,2004566,1.002283,0.033385571
6,20,2000000,2003821,1.0019105,0.035000933
6,21,2000000,2003706,1.001853,0.030050888
6,22,2000000,2003260,1.00163,0.033307196
6,23,2000000,2003122,1.001561,0.037129958
6,24,2000000,2003757,1.0018785,0.033824859
6,25,2000000,2003793,1.0018965,0.032949283
6,26,2000000,2003060,1.00153,0.034706685
6,27,2000000,2003677,1.0018385,0.033936775
6,28,2000000,2004754,1.002377,0.03446527
6,29,2000000,2002617,1.0013085,0.038399198
6,30,2000000,2003538,1.001769,0.035915009
6,31,2000000,2003346,1.001673,0.036381173
6,32,2000000,2003907,1.0019535,0.036992209
6,33,2000000,2004214,1.002107,0.037751536
6,34,2000000,2004069,1.0020345,0.038344199
6,35,2000000,2002902,1.001451,0.043723323
7,0,2000000,2003225,1.0016125,0.017797235
7,1,2000000,2004338,1.002169,0.021826953
7,2,2000000,2003337,1.0016685,0.018071733
7,3,2000000,2002164,1.001082,0.018591437
7,4,2000000,2003684,1.001842,0.024707181
7,5,2000000,2002290,1.001145,0.02075092
7,6,2000000,2002347,1.0011735,0.023721647
7,7,2000000,2002573,1.0012865,0.023522899
7,8,2000000,2003151,1.0015755,0.022002452
7,9,2000000,2003087,1.0015435,0.02684283
7,10,2000000,2002653,1.0013265,0.025466133
7,11,2000000,2001770,1.000885,0.023966936
7,12,2000000,2002637,1.0013185,0.026584208
7,13,2000000,2002901,1.0014505,0.025270218
7,14,2000000,2003183,1.0015915,0.026730498
7,15,2000000,2003055,1.0015275,0.026679832
7,16,2000000,2003973,1.0019865,0.027245953
7,17,2000000,2004401,1.0022005,0.027705991
7,18,2000000,2004609,1.0023045,0.02839911
7,19,2000000,2003982,1.001991,0.03478956
7,20,2000000,2004193,1.0020965,0.029762932
7,21,2000000,2002340,1.00117,0.034673728
7,22,2000000,2002890,1.001445,0.031558377
7,23,2000000,2002888,1.001444,0.031914582
7,24,2000000,2003223,1.0016115,0.03820495
7,25,2000000,2002267,1.0011335,0.03753183
7,26,2000000,2003817,1.0019085,0.035819593
7,27,2000000,2003248,1.001624,0.034002607
7,28,2000000,2002233,1.0011165,0.037578205
7,29,2000000,2002999,1.0014995,0.035310764
7,30,2000000,2003033,1.0015165,0.036195715
7,31,2000000,2003868,1.001934,0.036886293
7,32,2000000,2003818,1.001909,0.037462456
7,33,2000000,2003454,1.001727,0.037915493
7,34,2000000,2003664,1.001832,0.038563114
7,35,2000000,2003162,1.001581,0.039606522
8,0,2000000,2002775,1.0013875,0.020056676
8,1,2000000,2002867,1.0014335,0.02043038
8,2,2000000,2003831,1.0019155,0.02568334
8,3,2000000,2002341,1.0011705,0.029695683
8,4,2000000,2002972,1.001486,0.022655446
8,5,2000000,2003313,1.0016565,0.024180601
8,6,2000000,2002683,1.0013415,0.023377482
8,7,2000000,2003033,1.0015165,0.024051144
8,8,2000000,2001635,1.0008175,0.028295069
8,9,2000000,2001885,1.0009425,0.025280551
8,10,2000000,2002649,1.0013245,0.026120462
8,11,2000000,2002116,1.001058,0.026732665
8,12,2000000,2002253,1.0011265,0.027304869
8,13,2000000,2003015,1.0015075,0.027885864
8,14,2000000,2003076,1.001538,0.028532443
8,15,2000000,2002835,1.0014175,0.02999018
8,16,2000000,2003935,1.0019675,0.03375011
8,17,2000000,2004170,1.002085,0.033751067
8,18,2000000,2004336,1.002168,0.032086539
8,19,2000000,2004080,1.00204,0.031691584
8,20,2000000,2004734,1.002367,0.032342079
8,21,2000000,2003469,1.0017345,0.033789026
8,22,2000000,2002618,1.001309,0.034027857
8,23,2000000,2003211,1.0016055,0.03641413
8,24,2000000,2002866,1.001433,0.034855934
8,25,2000000,2002446,1.001223,0.041950379
8,26,2000000,2003327,1.0016635,0.035988008
8,27,2000000,2003715,1.0018575,0.036670962
8,28,2000000,2003587,1.0017935,0.037184541
8,29,2000000,2003967,1.0019835,0.03777212
8,30,2000000,2003581,1.0017905,0.038496572
8,31,2000000,2003789,1.0018945,0.039133484
8,32,2000000,2003898,1.001949,0.043002161
8,33,2000000,2003372,1.001686,0.047475085
8,34,2000000,2002717,1.0013585,0.041835671
8,35,2000000,2003785,1.0018925,0.041829588
9,0,2000000,2004175,1.0020875,0.030713967
9,1,2000000,2003515,1.0017575,0.030819424
9,2,2000000,2003517,1.0017585,0.035310347
9,3,2000000,2003288,1.001644,0.034856517
9,4,2000000,2004356,1.002178,0.032198039
9,5,2000000,2003238,1.001619,0.03306199
9,6,2000000,2003105,1.0015525,0.036732753
9,7,2000000,2001764,1.000882,0.034202606
9,8,2000000,2002348,1.001174,0.036418005
9,9,2000000,2001671,1.0008355,0.035558637
9,10,2000000,2002907,1.0014535,0.03622534
9,11,2000000,2002945,1.0014725,0.036951875
9,12,2000000,2002903,1.0014515,0.037161166
9,13,2000000,2003665,1.0018325,0.042619456
9,14,2000000,2002747,1.0013735,0.038597571
9,15,2000000,2002751,1.0013755,0.043438616
9,16,2000000,2004433,1.0022165,0.03998531
9,17,2000000,2004649,1.0023245,0.045354685
9,18,2000000,2004085,1.0020425,0.046286344
9,19,2000000,2004537,1.0022685,0.047948456
9,20,2000000,2003807,1.0019035,0.042411458
9,21,2000000,2003196,1.001598,0.043515407
9,22,2000000,2003214,1.001607,0.047646291
9,23,2000000,2003744,1.001872,0.047060713
9,24,2000000,2003228,1.001614,0.045038354
9,25,2000000,2003805,1.0019025,0.050998057
9,26,2000000,2003146,1.001573,0.046287928
9,27,2000000,2004045,1.0020225,0.048601951
9,28,2000000,2004105,1.0020525,0.047343628
9,29,2000000,2003771,1.0018855,0.048155454
9,30,2000000,2002125,1.0010625,0.049062781
9,31,2000000,2003560,1.00178,0.049413819
9,32,2000000,2004618,1.002309,0.049817816
9,33,2000000,2003560,1.00178,0.051233221
9,34,2000000,2003236,1.001618,0.051452804
9,35,2000000,2003723,1.0018615,0.05248617
10,0,2000000,2002688,1.001344,0.030708592
10,1,2000000,2003117,1.0015585,0.030951257
10,2,2000000,2003225,1.0016125,0.033375821
10,3,2000000,2002034,1.001017,0.038131617
10,4,2000000,2003368,1.001684,0.037065958
10,5,2000000,2003128,1.001564,0.03940469
10,6,2000000,2004821,1.0024105,0.040224808
10,7,2000000,2003075,1.0015375,0.039049359
10,8,2000000,2001336,1.000668,0.034855767
10,9,2000000,2002764,1.001382,0.036842294
10,10,2000000,2002833,1.0014165,0.03648013
10,11,2000000,2002430,1.001215,0.037151707
10,12,2000000,2002397,1.0011985,0.037612412
10,13,2000000,2003974,1.001987,0.038493113
10,14,2000000,2003079,1.0015395,0.03947794
10,15,2000000,2003103,1.0015515,0.040415724
10,16,2000000,2004686,1.002343,0.043862529
10,17,2000000,2003476,1.001738,0.044642732
10,18,2000000,2003704,1.001852,0.046464134
10,19,2000000,2003957,1.0019785,0.047901248
10,20,2000000,2004160,1.00208,0.046707549
10,21,2000000,2003446,1.001723,0.047733249
10,22,2000000,2002494,1.001247,0.043925821
10,23,2000000,2004428,1.002214,0.045164437
10,24,2000000,2002640,1.00132,0.046957422
10,25,2000000,2003953,1.0019765,0.046339761
10,26,2000000,2003072,1.001536,0.04674584
10,27,2000000,2004061,1.0020305,0.047333252
10,28,2000000,2003003,1.0015015,0.047818832
10,29,2000000,2002955,1.0014775,0.048574784
10,30,2000000,2003519,1.0017595,0.048871365
10,31,2000000,2004014,1.002007,0.048454452
10,32,2000000,2003381,1.0016905,0.049999148
10,33,2000000,2003542,1.001771,0.050860266
10,34,2000000,2003343,1.0016715,0.051765843
10,35,2000000,2003490,1.001745,0.052232089
